,tweetid,favorite_count,retweet_count,lang,source,followers_count
102,871879754684805121,35500,10142,en,Twitter for iPhone,8784788
103,871762521631449091,19096,3224,en,Twitter for iPhone,8784788
104,871515927908634625,19069,3216,en,Twitter for iPhone,8784788
105,871166179821445120,0,5285,en,Twitter for iPhone,8784788
106,871102520638267392,19789,5106,en,Twitter for iPhone,8784788
107,871032628920680449,21510,3539,en,Twitter for iPhone,8784788
108,870804317367881728,31833,5727,en,Twitter for iPhone,8784788
109,870726314365509632,115,3,en,Twitter for iPhone,8784788
110,870656317836468226,11699,2452,en,Twitter for iPhone,8784788
111,870374049280663552,78588,24543,en,Twitter for iPhone,8784788
112,870308999962521604,20762,3851,en,Twitter for iPhone,8784788
113,870063196459192321,34604,7708,en,Twitter for iPhone,8784788
114,869772420881756160,40316,9394,en,Twitter for iPhone,8784788
115,869702957897576449,26780,5859,en,Twitter for iPhone,8784788
116,869596645499047938,15132,2905,en,Twitter for iPhone,8784788
117,869227993411051520,19367,3515,en,Twitter for iPhone,8784788
118,868880397819494401,62085,13432,en,Twitter for iPhone,8784788
119,868639477480148993,0,1936,en,Twitter for iPhone,8784788
120,868622495443632128,25350,4937,en,Twitter for iPhone,8784788
121,868552278524837888,9573,1936,en,Twitter for iPhone,8784788
122,867900495410671616,22996,3898,en,Twitter for iPhone,8784788
123,867774946302451713,32302,6859,en,Twitter for iPhone,8784788
124,867421006826221569,15303,2324,en,Twitter for iPhone,8784788
125,867072653475098625,0,112,en,Twitter for iPhone,8784788
126,867051520902168576,30664,7361,en,Twitter for iPhone,8784788
127,866720684873056260,19082,4485,en,Twitter for iPhone,8784788
128,866686824827068416,18366,3269,en,Twitter for iPhone,8784217
129,866450705531457537,116392,32951,en,Twitter for iPhone,8784788
130,866334964761202691,49941,13349,en,Twitter for iPhone,8784788
131,866094527597207552,0,7849,en,Twitter for iPhone,8784788
132,865718153858494464,24467,5268,en,Twitter for iPhone,8784788
